individual.local.identifier,timestamp,yCoords,xCoords
1,2022.02.25 17:46:06,31.087454,-85.821417
1,2022.02.25 18:01:06,31.087408,-85.8214
1,2022.02.25 18:16:29,31.087448,-85.821384
1,2022.02.25 18:31:00,31.087439,-85.821399
1,2022.02.25 18:45:50,31.087413,-85.821379
1,2022.02.25 19:00:57,31.087362,-85.82139
1,2022.02.25 19:16:26,31.087488,-85.82136
1,2022.02.25 19:30:47,31.087267,-85.821399
1,2022.02.25 19:46:02,31.087369,-85.821412
1,2022.02.25 20:00:55,31.08745,-85.821443
1,2022.02.25 20:16:06,31.087417,-85.821416
1,2022.02.25 20:30:40,31.087371,-85.821445
1,2022.02.25 20:46:29,31.087414,-85.821434
1,2022.02.25 21:00:45,31.087483,-85.821437
1,2022.02.25 21:15:37,31.087401,-85.821326
1,2022.02.25 21:30:37,31.087379,-85.82135
1,2022.02.25 21:46:28,31.087558,-85.821312
1,2022.02.25 22:01:59,31.087341,-85.821377
1,2022.02.25 22:16:36,31.087249,-85.821287
1,2022.02.25 22:31:01,31.087394,-85.821526
1,2022.02.25 22:47:37,31.087436,-85.821473
1,2022.02.25 23:01:36,31.087477,-85.821377
1,2022.02.25 23:16:53,31.087364,-85.821353
1,2022.02.25 23:31:06,31.087372,-85.821302
1,2022.02.25 23:46:05,31.087372,-85.821153
1,2022.02.26 00:01:06,31.087317,-85.821381
1,2022.02.26 00:15:50,31.087401,-85.821333
1,2022.02.26 00:31:01,31.087418,-85.821367
1,2022.02.26 00:46:06,31.087391,-85.821444
1,2022.02.26 01:00:50,31.087394,-85.821501
1,2022.02.26 01:16:59,31.087412,-85.821427
1,2022.02.26 01:31:06,31.087352,-85.821299
1,2022.02.26 01:45:50,31.087286,-85.821339
1,2022.02.26 02:00:50,31.087388,-85.821499
1,2022.02.26 02:15:50,31.087382,-85.821445
1,2022.02.26 02:31:00,31.087454,-85.821534
1,2022.02.26 02:45:50,31.087298,-85.821333
1,2022.02.26 03:01:00,31.087436,-85.821463
1,2022.02.26 03:16:11,31.087377,-85.821436
1,2022.02.26 03:31:36,31.087481,-85.821514
1,2022.02.26 03:46:06,31.087468,-85.821479
1,2022.02.26 04:00:37,31.087435,-85.821449
1,2022.02.26 04:15:51,31.087388,-85.821431
1,2022.02.26 04:31:11,31.087431,-85.821471
1,2022.02.26 04:45:38,31.08743,-85.82144
1,2022.02.26 05:00:41,31.087483,-85.821375
1,2022.02.26 05:15:36,31.087395,-85.821467
1,2022.02.26 05:31:10,31.087268,-85.821475
1,2022.02.26 05:45:51,31.087346,-85.82141
1,2022.02.26 06:01:30,31.087329,-85.821244
1,2022.02.26 06:15:54,31.087371,-85.821472
1,2022.02.26 06:30:50,31.087366,-85.821386
1,2022.02.26 06:45:54,31.087381,-85.821442
1,2022.02.26 07:02:06,31.087343,-85.821435
1,2022.02.26 07:16:36,31.087389,-85.821348
1,2022.02.26 07:30:54,31.087328,-85.821448
1,2022.02.26 07:46:06,31.087431,-85.821281
1,2022.02.26 08:01:06,31.087385,-85.821471
1,2022.02.26 08:17:11,31.087624,-85.821174
1,2022.02.26 08:31:06,31.087518,-85.821358
1,2022.02.26 08:46:24,31.087415,-85.821442
1,2022.02.26 09:01:00,31.087383,-85.821437
1,2022.02.26 09:15:51,31.087584,-85.82145
1,2022.02.26 09:31:06,31.087473,-85.821372
1,2022.02.26 09:46:09,31.087206,-85.821495
1,2022.02.26 10:00:59,31.087359,-85.821481
1,2022.02.26 10:16:54,31.087354,-85.821431
1,2022.02.26 10:31:00,31.087444,-85.821353
1,2022.02.26 10:45:50,31.08735,-85.821435
1,2022.02.26 11:02:06,31.087326,-85.821443
1,2022.02.26 11:15:50,31.087417,-85.821398
1,2022.02.26 11:30:51,31.087465,-85.82115
1,2022.02.26 11:45:40,31.087466,-85.821378
1,2022.02.26 12:00:39,31.087314,-85.821386
1,2022.02.26 12:16:06,31.087358,-85.821279
1,2022.02.26 12:30:50,31.087275,-85.821274
1,2022.02.26 12:45:35,31.087398,-85.821375
1,2022.02.26 13:00:50,31.087456,-85.821547
1,2022.02.26 13:16:06,31.087362,-85.821351
1,2022.02.26 13:31:00,31.087235,-85.821571
1,2022.02.26 13:46:23,31.087437,-85.821348
1,2022.02.26 14:01:06,31.087328,-85.82132
